id,model1_label,model2_label,model3_label
1,Favour,Favour,Favour
2,Favour,Favour,None
3,Against,Against,Against
4,Against,Against,Against
5,None,None,None
6,None,None,None
7,None,None,None
8,Against,Against,Against
9,Against,Against,Against
10,None,None,None
11,None,None,None
12,None,None,None
13,Against,Against,Against
14,Favour,Favour,Favour
15,Against,Against,Against
16,Against,Against,Against
17,Against,Against,None
18,Against,Against,Against
19,None,None,None
20,None,None,None
21,None,None,None
22,None,None,None
23,None,None,None
24,Favour,Favour,Favour
25,Against,Against,Against
26,Against,Against,Against
27,Against,Against,Against
28,Against,Against,Against
29,None,None,None
30,Against,Against,Against
31,Favour,Favour,Favour
32,Against,Against,Against
33,None,None,None
34,Against,Against,Against
35,Against,Against,Against
36,Favour,Favour,Favour
37,Against,Against,None
38,None,None,None
39,None,None,None
40,Against,Against,Against
41,Favour,Favour,Favour
42,Against,Against,Against
43,None,None,None
44,Favour,Favour,Favour
45,None,None,Favour
46,Against,Against,Against
47,Against,Against,Against
48,Against,Against,Against
49,Against,Against,Against
50,Favour,Favour,Favour
51,Against,Against,None
52,Against,Against,Against
53,Favour,Favour,Favour
54,None,None,None
55,None,None,None
56,Against,Against,Against
57,Against,Against,Against
58,None,None,None
59,Against,Against,Against
60,Against,Against,Favour
61,Against,Against,Against
62,Against,Against,Against
63,Against,Against,Against
64,Favour,Favour,Against
65,Against,Against,Against
66,Against,Against,Against
67,None,None,None
68,Favour,Favour,Favour
69,Favour,Favour,Favour
70,Against,Against,Against
71,Against,Against,Against
72,None,None,None
73,None,None,None
74,Against,Against,Against
75,None,None,None
76,None,None,None
77,None,None,None
78,Against,Against,Against
79,None,Against,Against
80,Against,Against,Against
81,Against,Against,None
82,None,None,Favour
83,None,None,None
84,Against,Against,Against
85,None,Against,None
86,Against,Against,Against
87,Against,Against,Against
88,Against,Against,Against
89,None,None,None
90,Favour,Favour,Favour
91,Against,Against,Against
92,None,None,None
93,None,None,None
94,None,None,None
95,None,None,None
96,Favour,None,Against
97,Favour,Favour,None
98,Favour,Favour,Favour
99,Favour,Favour,Favour
100,Favour,Favour,Favour
101,None,None,None
102,Favour,Favour,Favour
103,Favour,Favour,Favour
104,None,None,None
105,Against,Against,Against
106,Favour,Favour,Favour
107,None,None,None
108,Favour,None,None
109,None,None,None
110,None,None,None
111,None,None,None
112,Against,Against,Against
113,None,None,None
114,Favour,Favour,Favour
115,None,None,None
116,Favour,Favour,Favour
117,None,None,None
118,None,None,None
119,Against,Against,Against
120,None,None,None
121,None,None,None
122,Favour,Favour,Favour
123,Against,Against,Against
124,Against,Against,Favour
125,Favour,None,None
126,Against,Against,Against
127,None,None,None
128,Favour,Favour,Favour
129,None,None,None
130,Against,Against,Against
131,Against,Against,Against
132,None,Against,None
133,None,None,None
134,None,None,None
135,Against,Against,Against
136,Favour,Favour,Favour
137,None,None,None
138,Against,Against,Against
139,None,None,None
140,None,None,None
141,Favour,None,None
142,Against,Against,Against
143,None,None,None
144,None,None,None
145,Favour,Against,Against
146,None,None,None
147,Against,Against,Against
148,Favour,Favour,Favour
149,Against,Against,Against
150,None,None,None
151,Favour,Favour,Favour
152,Against,Against,Against
153,None,None,None
154,None,None,None
155,Against,Against,Against
156,None,None,None
157,None,None,None
158,None,None,None
159,Against,Against,Against
160,None,None,None
161,None,None,None
162,None,None,None
163,None,None,None
164,None,None,None
165,None,None,None
166,Against,Against,Against
167,Against,Against,Against
168,None,None,None
169,Against,Against,Against
170,None,None,None
171,None,None,None
172,Against,Against,Against
173,None,None,None
174,None,None,None
175,Favour,None,None
176,None,None,Against
177,Favour,Favour,None
178,None,None,None
179,None,None,None
180,None,None,None
181,None,None,None
182,Against,Against,Against
183,Against,Against,Against
184,Against,Against,Against
185,None,None,None
186,None,None,None
187,None,None,None
188,None,None,None
189,Favour,None,None
190,Against,Against,Against
191,None,None,None
192,Favour,Favour,Favour
193,None,None,None
194,None,None,None
195,Favour,Favour,Favour
196,Against,Against,Against
197,Against,Against,Against
198,Against,Against,Against
199,Against,Against,Against
200,Against,Against,Against
201,Against,Against,Against
202,Favour,Favour,Favour
203,Against,Against,Against
204,None,None,None
205,Favour,Favour,Favour
206,None,None,None
207,Against,Against,Against
208,None,None,None
209,Against,Against,Against
210,Favour,Favour,Favour
211,Against,Against,Against
212,Favour,Favour,Favour
213,Against,Against,Against
214,Favour,Favour,Favour
215,Favour,Favour,Favour
216,Favour,Favour,Favour
217,Favour,Favour,Favour
218,Against,Against,Favour
219,Against,Against,Against
220,Against,Against,Against
221,Favour,Favour,Favour
222,Against,Against,Against
223,Against,Against,Against
224,Against,Against,Against
225,Against,Against,Against
226,Favour,Favour,Favour
227,Against,Against,Against
228,Favour,Favour,Favour
229,None,None,Against
230,Against,Against,Against
231,Against,Against,Against
232,Against,Against,Against
233,None,None,None
234,Against,Against,Against
235,Against,Against,Against
236,None,None,Against
237,Against,Against,Against
238,Against,Against,Against
239,Favour,Favour,Favour
240,Against,Against,Against
241,Against,Against,Against
242,Against,Against,Against
243,Against,Against,Against
244,Against,Against,Against
245,Favour,Favour,Against
246,Against,Against,Against
247,Against,Against,Against
248,Favour,Favour,Against
249,Against,Against,Against
250,Favour,Favour,Favour
251,Against,Against,Against
252,Against,Against,Against
253,Favour,Favour,Favour
254,Against,Against,Against
255,Favour,Favour,Favour
256,Against,Against,Against
257,Against,Against,Against
258,Against,Against,Against
259,Against,Against,Against
260,Favour,Favour,None
261,None,None,None
262,Favour,Favour,None
263,Against,Against,Against
264,Favour,Favour,Favour
265,Favour,Favour,Favour
266,Favour,Favour,Favour
267,Favour,Favour,Favour
268,Favour,Favour,Favour
269,Against,Against,Against
270,Favour,Against,Against
271,Favour,Favour,Favour
272,None,None,None
273,Against,Against,Against
274,Favour,Favour,Favour
275,Favour,Favour,Favour
276,None,None,None
277,Favour,Favour,None
278,Against,Against,Against
279,Against,Against,Against
280,Against,Against,Against
281,Against,Against,Against
282,Against,Against,Against
283,None,None,None
284,Against,Against,Against
285,Against,Against,Against
286,Favour,Favour,Against
287,Against,Against,Against
288,Against,Against,Against
289,Against,Against,Against
290,Against,Against,Against
291,Against,Against,Against
292,Against,Against,Favour
293,Against,Against,Against
294,Favour,None,Against
295,Against,Against,Against
296,Against,Against,Against
297,Against,Against,Against
298,Against,Against,Against
299,None,None,Against
300,Favour,Favour,Favour
301,Against,Against,Against
302,Against,Against,Against
303,None,None,None
304,Against,Against,Against
305,Against,Against,Against
306,Against,Against,Against
307,Favour,Favour,Favour
308,Favour,Favour,Favour
309,Favour,Favour,Favour
310,Against,Against,Against
311,Against,Against,Against
312,Against,Against,Against
313,Against,Against,Against
314,Against,Against,Against
315,Favour,Favour,Favour
316,Against,Against,Against
317,Against,Against,Against
318,Against,Against,Against
319,Against,Against,Against
320,Favour,Against,Favour
321,Against,Against,Favour
322,Against,Against,Against
323,Favour,Favour,Favour
324,Against,Against,Against
325,Favour,Against,Favour
326,Against,Against,None
327,Against,Against,Against
328,Against,Against,Favour
329,Favour,Against,Against
330,Against,Against,Against
331,Against,Against,Against
332,Against,Against,Against
333,Against,Against,Against
334,Against,Against,Against
335,Against,Against,Against
336,Against,Against,Against
337,Against,Against,Against
338,Against,Against,Against
339,Against,Against,Against
340,Favour,Favour,Favour
341,Against,Against,Against
342,Favour,Favour,Against
343,Against,Against,Against
344,Against,Against,Against
345,Against,Against,Against
346,Against,Against,Against
347,Against,Against,Against
348,Favour,Favour,Favour
349,Against,Against,Against
350,Favour,Favour,Favour
351,None,None,None
352,Favour,None,Favour
353,Against,Against,Against
354,Against,Against,Against
355,Against,Against,Against
356,Against,Against,Against
357,Against,Against,Against
358,Against,Against,Against
359,Favour,Favour,Favour
360,Favour,Favour,Favour
361,Against,Against,Against
362,Favour,Favour,Favour
363,Favour,Favour,Favour
364,Favour,Favour,Favour
365,Against,Against,Favour
366,Favour,Favour,Favour
367,Favour,Favour,Favour
368,Against,Against,Against
369,Favour,Against,Against
370,Favour,Favour,Favour
371,Against,Against,Against
372,Against,Against,Against
373,Against,Against,None
374,Against,Against,Against
375,Against,Against,Against
376,Favour,Favour,Favour
377,Against,Against,Against
378,Against,Against,Against
379,Against,Against,Against
380,Against,Against,Against
381,Against,Against,Against
382,Against,Against,Against
383,Against,Against,Against
384,Against,Against,Against
385,Favour,Favour,Against
386,Against,Against,Against
387,Against,Against,Against
388,Favour,Favour,Favour
389,Against,Against,Against
390,Favour,Favour,Favour
391,Against,Against,Against
392,Against,Against,Against
393,Against,Against,Against
394,Against,Against,Against
395,Against,Against,Against
396,Against,Against,Against
397,Favour,Favour,Favour
398,None,None,None
399,None,None,None
400,Favour,Favour,Favour
401,Favour,Favour,Against
402,Favour,Favour,Favour
403,Favour,Favour,Favour
404,Favour,Favour,Favour
405,Favour,Favour,Against
406,Favour,Favour,Favour
407,Favour,Favour,None
408,Favour,Favour,Against
409,Favour,Favour,Favour
410,Favour,Favour,Favour
411,Favour,Favour,None
412,Favour,Favour,Favour
413,Favour,None,None
414,Favour,Favour,Favour
415,Favour,Favour,Favour
416,Favour,Against,Against
417,Favour,Favour,Favour
418,Against,Against,Against
419,Favour,Favour,Favour
420,Favour,Favour,Favour
421,Favour,Favour,Favour
422,Favour,Favour,Favour
423,Favour,Favour,Favour
424,None,None,None
425,Favour,Favour,Favour
426,Favour,Favour,Favour
427,Favour,Favour,Favour
428,Favour,Favour,Favour
429,Favour,Favour,Favour
430,Favour,Favour,None
431,None,None,None
432,Favour,Favour,Against
433,Favour,Favour,Favour
434,Favour,Favour,Favour
435,Favour,Favour,Against
436,Favour,Favour,Favour
437,Favour,Favour,Favour
438,Favour,Favour,Favour
439,Favour,Favour,Against
440,None,None,None
441,Favour,Favour,Favour
442,Favour,Favour,Favour
443,Favour,Favour,Favour
444,Favour,Favour,Favour
445,Favour,Favour,Favour
446,Favour,Favour,Favour
447,Favour,Favour,Against
448,Favour,Favour,Against
449,Favour,Favour,Favour
450,Favour,Favour,Favour
451,Favour,Favour,Favour
452,Favour,Favour,Favour
453,Favour,Favour,Favour
454,Favour,Favour,Favour
455,Favour,Favour,Favour
456,Favour,Favour,Favour
457,Favour,Favour,Favour
458,Favour,Favour,Favour
459,Favour,Favour,Favour
460,Favour,Favour,Favour
461,Favour,Favour,Favour
462,Favour,Favour,None
463,Favour,Favour,Favour
464,Favour,Favour,Favour
465,Favour,Favour,Favour
466,Favour,Favour,Favour
467,Favour,Favour,Favour
468,Favour,Favour,Favour
469,Favour,Favour,Favour
470,Favour,Against,Favour
471,Favour,Favour,Favour
472,Favour,Favour,Favour
473,Favour,Favour,Favour
474,Favour,Favour,Favour
475,Favour,Favour,Favour
476,Favour,Favour,Favour
477,Favour,Favour,Favour
478,Favour,Favour,None
479,Favour,Favour,Favour
480,Favour,Favour,Favour
481,Favour,Favour,Favour
482,Favour,Favour,Against
483,Favour,Favour,Favour
484,Favour,Favour,Favour
485,Favour,Favour,Favour
486,Favour,Favour,Favour
487,Favour,Favour,Favour
488,Favour,Favour,Against
489,Favour,Favour,Favour
490,Favour,Favour,Favour
491,Favour,Favour,Favour
492,Favour,Favour,Favour
493,Favour,Favour,Favour
494,Favour,Favour,Favour
495,Favour,Favour,Favour
496,Favour,Favour,Favour
497,Favour,Favour,None
498,Favour,Favour,Favour
499,Favour,Favour,None
500,Favour,Favour,Favour
