id,model1_label,model2_label,model3_label
1,Against,Against,Against
2,None,None,None
3,None,None,None
4,None,None,None
5,None,None,None
6,None,None,None
7,None,None,None
8,None,None,None
9,None,None,None
10,None,None,None
11,None,None,None
12,None,None,None
13,None,None,None
14,Against,Against,Against
15,None,None,None
16,Against,None,None
17,None,None,None
18,None,None,None
19,None,None,None
20,None,None,None
21,None,None,None
22,None,None,None
23,None,None,None
24,None,None,Against
25,None,None,None
26,None,None,None
27,None,None,None
28,None,None,None
29,None,None,None
30,None,None,None
31,None,None,None
32,None,None,None
33,None,None,None
34,Against,Against,None
35,Against,Against,Against
36,None,None,None
37,Against,Against,Against
38,Against,Against,Against
39,None,None,None
40,None,None,None
41,None,None,Against
42,None,None,None
43,None,None,None
44,Against,Against,None
45,None,None,None
46,None,None,None
47,Against,Against,Against
48,None,None,None
49,Against,Against,Against
50,None,None,None
51,Against,Against,Against
52,None,None,None
53,None,None,None
54,None,None,None
55,None,None,None
56,None,None,None
57,Against,Against,Against
58,None,None,None
59,Against,Against,Against
60,Against,Against,None
61,Against,Against,Against
62,None,None,None
63,Against,Against,Against
64,Against,Against,Against
65,Against,Against,Against
66,None,None,Against
67,Against,Against,Against
68,None,Against,None
69,None,None,None
70,Against,Against,Against
71,None,None,None
72,None,None,None
73,None,None,None
74,None,None,None
75,Favour,Favour,Favour
76,None,None,None
77,None,None,None
78,None,None,None
79,None,None,None
80,None,None,None
81,None,None,None
82,None,None,None
83,Against,None,Against
84,None,None,None
85,Against,Against,None
86,None,None,None
87,None,None,None
88,None,None,None
89,None,None,None
90,None,None,None
91,None,None,None
92,None,None,None
93,None,None,None
94,None,None,Against
95,None,None,None
96,Against,None,None
97,None,None,None
98,None,None,None
99,None,None,None
100,None,None,None
101,Against,Against,Against
102,Against,Against,Against
103,Against,Against,Against
104,Against,Against,Against
105,Against,Against,Against
106,Against,Against,Against
107,Against,Against,Against
108,Against,Against,Against
109,Against,Against,Against
110,Against,Against,Against
111,Against,Against,Against
112,Against,Against,Against
113,Against,Against,Against
114,Against,Against,Against
115,Against,Against,Against
116,Against,Against,Against
117,Against,Against,Against
118,Against,Against,Against
119,Against,Against,Against
120,Against,Against,Against
121,Against,Against,Against
122,Against,Against,Against
123,Against,Against,Against
124,Against,Against,Against
125,Against,Against,Against
126,Against,None,Against
127,Against,Against,Against
128,Against,Against,Against
129,Against,Against,Against
130,Against,Against,Against
131,Against,Against,Against
132,Against,Against,Favour
133,Against,Against,Against
134,Against,Against,Against
135,Against,Against,Against
136,Against,Against,Against
137,Against,Against,Against
138,Against,Against,Against
139,Against,Against,Against
140,Against,Against,Against
141,Against,Against,Against
142,Against,Against,Against
143,Against,Against,Against
144,Against,Against,Against
145,Against,Against,Against
146,Against,Against,Against
147,Against,Against,Against
148,Against,Against,Against
149,Against,Against,Against
150,Against,Against,Against
151,Against,Against,Against
152,Against,Against,Against
153,Against,Against,Against
154,Against,Against,Against
155,Against,Against,Against
156,Against,Against,Against
157,Against,Against,Against
158,Against,Against,Against
159,Against,Against,Against
160,Against,Against,Against
161,Against,Against,Against
162,Against,Against,Against
163,Against,Against,Against
164,Against,Against,Against
165,Against,Against,Against
166,Against,Against,Against
167,Against,Against,Against
168,Against,Against,Against
169,Against,Against,Against
170,Against,Against,Against
171,Favour,Favour,Against
172,Against,Against,Against
173,Against,Against,Against
174,Against,Against,Against
175,Against,Against,Against
176,Against,Against,Against
177,Against,Against,Against
178,Favour,Against,None
179,Against,Against,Against
180,Against,Against,Against
181,Against,Against,Against
182,Against,Against,Against
183,Against,Against,Against
184,Against,Against,Against
185,Against,None,Favour
186,Against,Against,Against
187,Against,Against,Against
188,Against,Against,Against
189,Against,Against,Against
190,Against,Against,Against
191,Against,Against,Against
192,Against,Against,None
193,Against,Against,Against
194,Against,Against,Against
195,Against,Against,Against
196,Against,Against,Against
197,Against,Against,Against
198,Against,Against,Against
199,Against,Against,Against
200,Against,Against,Favour
201,Against,Against,Against
202,Against,Against,Against
203,Against,Against,Against
204,Against,Against,Against
205,Against,Against,Against
206,Against,Against,Against
207,Against,Against,Against
208,None,None,None
209,Against,Against,Against
210,Against,Against,Against
211,Against,Against,Against
212,Favour,Favour,Favour
213,Against,Against,Against
214,Against,Against,Against
215,Against,Against,Against
216,Against,Against,Against
217,Against,Against,Against
218,Against,Against,Against
219,Against,Favour,Favour
220,Favour,Favour,Favour
221,Against,Against,Against
222,Against,Against,Against
223,Against,Against,Against
